직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
Data Scientist,40-44,Master’s degree,5-10 years,1-2 years,Python,R,,,,,,Javascript,,,MATLAB,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"1,000-1,999"
Data Scientist,30-34,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"15,000-19,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,I prefer not to answer,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,40-44,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"70,000-79,999"
Data Scientist,18-21,Master’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,5-10 years,3-4 years,,,SQL,,C#,C++,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,Doctoral degree,< 1 years,Under 1 year,,R,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Data Scientist,30-34,Master’s degree,5-10 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"125,000-149,999"
Data Scientist,25-29,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Machine Learning/ MLops Engineer,50-54,Bachelor’s degree,20+ years,2-3 years,Python,,,C,,,,Javascript,Bash,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,,,,Bayesian Approaches,,,Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,"125,000-149,999"
Data Scientist,45-49,Doctoral degree,20+ years,5-10 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,, Fast.ai , Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"80,000-89,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,No formal education past high school,20+ years,10-20 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,, LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
Data Scientist,40-44,Master’s degree,3-5 years,1-2 years,Python,,SQL,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
Data Engineer,40-44,Doctoral degree,5-10 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"2,000-2,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,5-10 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000-1,999"
Data Scientist,22-24,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,
Data Engineer,30-34,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,,,Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000-4,999"
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,  TensorFlow ,,,,,,,,,,,,,,,,,,,,,,,Graph Neural Networks,$0-999
Data Scientist,45-49,I prefer not to answer,10-20 years,3-4 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,, Huggingface ,,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
Data Engineer,35-39,Some college/university study without earning a bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000-29,999"
Data Scientist,25-29,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,, Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,"40,000-49,999"
Data Scientist,25-29,I prefer not to answer,< 1 years,Under 1 year,Python,R,SQL,C,C#,C++,Java,Javascript,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost , LightGBM , CatBoost , Caret , Tidymodels , JAX , PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,">$1,000,000"
Machine Learning/ MLops Engineer,30-34,Bachelor’s degree,10-20 years,5-10 years,Python,,SQL,,,,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,, JAX , PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"100,000-124,999"
Data Scientist,35-39,No formal education past high school,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"3,000-3,999"
Data Scientist,40-44,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"15,000-19,999"
Data Scientist,30-34,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"80,000-89,999"
Data Scientist,25-29,Bachelor’s degree,1-3 years,1-2 years,Python,,SQL,,,,,Javascript,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,Graph Neural Networks,"200,000-249,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,,,,,,"2,000-2,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000-89,999"
Data Scientist,40-44,Professional doctorate,3-5 years,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"7,500-9,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,No formal education past high school,3-5 years,1-2 years,Python,R,,,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"3,000-3,999"
Machine Learning/ MLops Engineer,30-34,Doctoral degree,3-5 years,4-5 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
Data Scientist,25-29,Master’s degree,5-10 years,3-4 years,Python,,SQL,,C#,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"5,000-7,499"
Data Scientist,22-24,Master’s degree,< 1 years,Under 1 year,Python,R,SQL,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"1,000-1,999"
Data Scientist,45-49,Doctoral degree,5-10 years,10-20 years,Python,R,,,,,,,,,,,,  Scikit-learn ,, Keras , PyTorch ,, Xgboost , LightGBM ,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,Graph Neural Networks,"30,000-39,999"
Data Scientist,30-34,Master’s degree,5-10 years,5-10 years,Python,R,SQL,,,C++,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,, Caret ,,,,,,,,Bayesian Approaches,,,,,,,,,"90,000-99,999"
Data Scientist,22-24,Bachelor’s degree,3-5 years,2-3 years,Python,,,,,C++,,,,,,,,  Scikit-learn ,, Keras ,,,,,,,,,,,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000-1,999"
Machine Learning/ MLops Engineer,60-69,Bachelor’s degree,10-20 years,Under 1 year,Python,R,,C,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"150,000-199,999"
Data Scientist,35-39,Doctoral degree,5-10 years,3-4 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"200,000-249,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,R,SQL,,,,,Javascript,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,$0-999
Data Scientist,30-34,Master’s degree,10-20 years,3-4 years,Python,,SQL,,,C++,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,, Huggingface ,,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,Graph Neural Networks,"2,000-2,999"
Data Scientist,60-69,Doctoral degree,20+ years,5-10 years,,R,SQL,,,,,,,,,,,,,,,,,,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
Data Engineer,22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"5,000-7,499"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Master’s degree,10-20 years,I do not use machine learning methods,Python,,SQL,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000-29,999"
Data Scientist,25-29,Bachelor’s degree,3-5 years,3-4 years,Python,R,SQL,C,C#,C++,Java,Javascript,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,,,,,,,"7,500-9,999"
Data Scientist,30-34,Master’s degree,1-3 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,, Keras ,,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"2,000-2,999"
Data Scientist,25-29,Bachelor’s degree,5-10 years,4-5 years,Python,,SQL,,,,,,,,,,Go,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,, JAX , PyTorch Lightning , Huggingface ,,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"1,000-1,999"
Data Scientist,25-29,Master’s degree,5-10 years,1-2 years,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,,,,, Xgboost ,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,3-5 years,1-2 years,,R,,,,,,,,,,,,,,,,,, LightGBM ,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"30,000-39,999"
Data Scientist,40-44,Professional doctorate,5-10 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"150,000-199,999"
Machine Learning/ MLops Engineer,35-39,Bachelor’s degree,10-20 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,Graph Neural Networks,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"80,000-89,999"
Data Scientist,30-34,Master’s degree,5-10 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch , Fast.ai , Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"80,000-89,999"
Data Scientist,30-34,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,Graph Neural Networks,"15,000-19,999"
Machine Learning/ MLops Engineer,25-29,Master’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,Graph Neural Networks,"80,000-89,999"
Data Engineer,35-39,Some college/university study without earning a bachelor’s degree,3-5 years,I do not use machine learning methods,,,SQL,,,,,,Bash,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000-29,999"
Machine Learning/ MLops Engineer,25-29,Master’s degree,5-10 years,3-4 years,Python,,,,,,,Javascript,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost ,, CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
Data Scientist,30-34,Bachelor’s degree,5-10 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"100,000-124,999"
Machine Learning/ MLops Engineer,25-29,Master’s degree,5-10 years,3-4 years,Python,,SQL,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"25,000-29,999"
Data Scientist,35-39,Bachelor’s degree,5-10 years,1-2 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,5-10 years,I do not use machine learning methods,,,SQL,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Bachelor’s degree,5-10 years,1-2 years,Python,R,SQL,,,,,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,, CatBoost ,, Tidymodels ,, PyTorch Lightning ,,Linear or Logistic Regression,,,Bayesian Approaches,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,Graph Neural Networks,$0-999
Data Scientist,45-49,Doctoral degree,20+ years,10-20 years,Python,R,SQL,C,C#,,,Javascript,Bash,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM ,,,, JAX ,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500-9,999"
